,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
208,21707,3.400004796,3.554430175,3.5165072849999994,3.294449736,3.1706138299999997,3.410860433
209,3536,2.9276972299999997,3.4365272879999997,2.8654854800000003,2.82021156,2.75995318,3.0887651899999997
210,3402,1.6138287390000001,1.909101058,1.972189271,1.698689356,1.601964331,1.53916731
211,3237,2.37759245,2.6073462259999998,2.54067353,2.3044848840000003,2.126441507,2.4246620099999996
212,3238,1.801573664,2.040182582,2.070732848,1.933050029,1.9097308599999998,1.7171193009999999
213,3239,2.77425461,3.0303473000000003,2.9796692599999997,2.83426284,2.70976312,2.6626693400000003
214,1847,2.1848275420000003,2.466714055,2.420345085,2.1877007350000004,2.056952601,2.042661021
215,11210,2.92532848,3.05240567,2.9337084,2.99786818,2.78479467,2.79374034
216,7730,2.7522791000000004,2.84622137,2.9182555800000003,2.76598206,2.7060613100000004,2.67806983
217,3240,2.8513657799999996,3.179522213,2.9457916499999994,2.8477609599999996,2.74003944,2.69595607
218,1906,2.94466519,3.299977185,3.0187619399999996,2.99587751,2.87716881,2.75250018
219,1788,2.010130749,2.0680963169999997,2.172713,2.032823178,2.0235527789999996,1.9810802230000002
220,8073,3.00575127,3.3395681899999996,3.1800581899999996,3.02531705,2.8522306399999997,2.72209686
221,7273,2.056118044,2.18154152,2.0194340090000003,2.104736349,1.9435471570000002,1.93521431
222,2691,2.8273977599999998,2.91843295,2.81204773,2.73059047,2.79160007,2.74197228
223,2692,2.97479201,2.95375387,2.9790796,2.9636008900000004,3.0458242999999996,3.07043836
224,2687,2.4465425899999995,2.51971809,2.54256181,2.49181465,2.31448326,2.3247034799999997
225,2689,2.41455362,2.43421181,2.3676247700000004,2.33082098,2.47828465,2.49396487
226,2693,2.30381974,2.41568871,2.368658605,2.226528883,2.24536903,2.09332326
227,10051,2.8498621,2.89652209,2.84779974,2.77643268,2.82501963,2.86262428
228,7022,2.47124172,2.5294495,2.5049481300000003,2.29130442,2.4434454039999998,2.53892303
229,10097,2.83714512,2.90624837,2.81767426,2.82228783,2.85014673,2.5396136900000004
230,2690,2.36469484,2.53086993,2.4007436799999997,2.32657356,2.33722057,2.248998847
231,4759,2.64852969,2.65431213,2.6791436199999996,2.5516409999999996,2.7923629700000006,2.5413024500000003
232,8611,2.9933600300000003,3.04991372,3.02741583,2.92114523,2.4883387850000003,3.37674027
233,1124,3.00689031,3.29257387,3.0433659599999996,3.04638699,2.88802235,2.89420781
234,3241,2.239745406,2.77761208,2.307724945,2.148998855,2.115144916,2.265278794
235,3351,3.0752053900000003,3.2424272100000002,3.30628083,3.0704193899999996,3.08658943,2.87869451
236,2598,2.33773155,2.52765315,2.216002305,2.2967073780000002,2.276579926,2.4273091499999997
237,4835,3.186806277,3.5562615139999996,3.275922352,3.10949754,3.08698985,3.01624873
238,1013,3.05901638,3.2429185200000004,3.22031224,3.0716529199999996,2.9587973,2.93959518
239,1125,2.6784489500000004,2.9518366279999997,2.8335150199999997,2.71062975,2.55699875,2.6530124899999996
240,1127,2.9096700699999998,3.31056442,2.71009415,2.9360440800000003,2.8809361,2.89068976
241,22202,3.0119444600000005,2.99293358,3.19947873,3.08750707,2.684875275,3.1266018000000004
242,1131,1.7749722829999999,1.8677039139999998,1.941291202,1.9508976740000001,1.7349531599999999,1.7245213809999997
243,1132,2.9465824400000002,3.60044253,3.0790278,3.22892105,3.0385497050000003,2.69423833
244,1133,2.2148973,2.3381231000000002,2.42189317,2.2239927799999997,2.1457323500000003,2.198233376
245,1134,1.6626786709999999,1.3005053100000001,1.9862282760999999,1.917036972,1.7292305259999998,1.5505495370000002
246,1143,1.9308497340000002,2.0920869979999996,1.9819231409999998,1.9255453869999997,1.983427233,1.895647008
247,1144,2.090411851,2.149743126,2.1255994140000003,2.1698987680000004,2.062105827,2.026587999
248,1150,2.26620133,2.37385409,2.39545223,2.240701745,2.23639394,2.2184597520000002
249,39803,2.358880425,3.18295806,3.209235286,2.14628768,2.10076289,2.287561905
250,7993,2.35718628,2.330358549,2.38354145,2.44974598,2.3195084,2.316511354
251,1146,2.25587392,2.49930637,2.5286569599999997,2.35520992,2.33912015,2.1182583150000003
252,1141,2.49601776,2.67059643,2.4421689300000002,2.413986115,2.478223975,2.39702088
